"Time","Latitude","Longitude"
"04/09/2016 07:03:28",51.63745,-0.01694
"04/09/2016 07:03:33",51.63715,-0.01603
"04/09/2016 07:03:38",51.63686,-0.01516
"04/09/2016 07:03:43",51.6366,-0.01442
"04/09/2016 07:03:48",51.63635,-0.01372
"04/09/2016 07:03:53",51.63613,-0.01309
"04/09/2016 07:03:58",51.63589,-0.01246
"04/09/2016 07:04:03",51.63565,-0.01186
"04/09/2016 07:04:08",51.63533,-0.01129
"04/09/2016 07:04:13",51.63499,-0.01072
"04/09/2016 07:04:18",51.63468,-0.01022
"04/09/2016 07:04:23",51.63433,-0.00973
"04/09/2016 07:04:28",51.63391,-0.00921
"04/09/2016 07:04:33",51.63348,-0.0087
"04/09/2016 07:04:38",51.63307,-0.00816
"04/09/2016 07:04:43",51.63276,-0.00745
"04/09/2016 07:04:48",51.63254,-0.00662
"04/09/2016 07:04:53",51.6324,-0.00611
"04/09/2016 07:04:58",51.63223,-0.00545
"04/09/2016 07:05:03",51.63208,-0.00485
"04/09/2016 07:05:08",51.63196,-0.00427
"04/09/2016 07:05:13",51.6319,-0.00367
"04/09/2016 07:05:18",51.63184,-0.00309
"04/09/2016 07:05:23",51.63177,-0.00241
"04/09/2016 07:05:28",51.63171,-0.00189
"04/09/2016 07:05:33",51.63167,-0.00152
"04/09/2016 07:05:38",51.63166,-0.00146
"04/09/2016 07:05:43",51.63164,-0.00128
"04/09/2016 07:05:48",51.63154,-0.00083
"04/09/2016 07:05:53",51.63132,-0.00022
"04/09/2016 07:05:58",51.63098,0.00033
"04/09/2016 07:06:03",51.63056,0.00081
"04/09/2016 07:06:08",51.6302,0.0012
"04/09/2016 07:06:13",51.62977,0.00165
"04/09/2016 07:06:18",51.62927,0.00215
"04/09/2016 07:06:23",51.62885,0.00266
"04/09/2016 07:06:28",51.62851,0.00322
"04/09/2016 07:06:33",51.62828,0.00381
"04/09/2016 07:06:38",51.62802,0.0044
"04/09/2016 07:06:43",51.62768,0.00511
"04/09/2016 07:06:49",51.62733,0.00587
"04/09/2016 07:06:54",51.62716,0.00644
"04/09/2016 07:06:59",51.62701,0.00706
"04/09/2016 07:07:04",51.62697,0.00744
"04/09/2016 07:07:09",51.62664,0.00749
"04/09/2016 07:07:14",51.62619,0.00761
"04/09/2016 07:07:19",51.62574,0.00776
"04/09/2016 07:07:24",51.62525,0.00792
"04/09/2016 07:07:29",51.62476,0.0081
"04/09/2016 07:07:34",51.62422,0.00829
"04/09/2016 07:07:39",51.62369,0.00827
"04/09/2016 07:07:44",51.62315,0.0082
"04/09/2016 07:07:49",51.62259,0.00818
"04/09/2016 07:07:54",51.62202,0.00833
"04/09/2016 07:07:59",51.62143,0.00849
"04/09/2016 07:08:04",51.62089,0.00863
"04/09/2016 07:08:09",51.62036,0.00868
"04/09/2016 07:08:14",51.61988,0.00868
"04/09/2016 07:08:19",51.61943,0.00868
"04/09/2016 07:08:24",51.61907,0.00873
"04/09/2016 07:08:29",51.61877,0.00896
"04/09/2016 07:08:34",51.61865,0.00853
"04/09/2016 07:08:39",51.61875,0.00786
"04/09/2016 07:08:44",51.61876,0.00707
"04/09/2016 07:08:49",51.61877,0.0064
"04/09/2016 07:08:54",51.61878,0.00584
"04/09/2016 07:08:59",51.61872,0.00569
"04/09/2016 07:09:04",51.61862,0.00569
"04/09/2016 07:09:09",51.61856,0.00568
"04/09/2016 07:09:14",51.61845,0.00568
"04/09/2016 07:09:19",51.61834,0.00567
"04/09/2016 07:09:24",51.61822,0.00567
"04/09/2016 07:09:29",51.61813,0.00566
"04/09/2016 07:09:34",51.61802,0.00566
"04/09/2016 07:09:39",51.61796,0.00569
"04/09/2016 07:09:44",51.61795,0.00586
"04/09/2016 07:09:49",51.61793,0.00603
"04/09/2016 07:09:54",51.61792,0.00617
"04/09/2016 07:09:59",51.61788,0.00619
"04/09/2016 07:10:04",51.61782,0.0062
"04/09/2016 07:10:09",51.61773,0.00621
"04/09/2016 07:10:14",51.6176,0.00623
"04/09/2016 07:10:19",51.61748,0.00624
"04/09/2016 07:10:24",51.61744,0.0064
"04/09/2016 07:10:29",51.61742,0.00653
"04/09/2016 07:10:34",51.6174,0.00667
"04/09/2016 07:10:39",51.61739,0.00679
"04/09/2016 07:10:44",51.6173,0.00679
"04/09/2016 07:10:49",51.61721,0.00679
"04/09/2016 07:10:54",51.61711,0.0068
"04/09/2016 07:10:59",51.61708,0.0068
"04/09/2016 07:11:04",51.61705,0.0068
"04/09/2016 07:11:09",51.61702,0.0068
"04/09/2016 07:11:14",51.6169,0.00683
"04/09/2016 07:11:19",51.61679,0.0069
"04/09/2016 07:11:24",51.61669,0.00696
"04/09/2016 07:11:29",51.61662,0.007
"04/09/2016 07:11:39",51.61658,0.00703
"04/09/2016 07:11:44",51.61653,0.00706
"04/09/2016 07:11:49",51.61643,0.00712
"04/09/2016 07:11:54",51.61638,0.00715
"04/09/2016 07:12:04",51.61635,0.00717
"04/09/2016 07:12:09",51.61629,0.00712
"04/09/2016 07:12:14",51.61624,0.00701
"04/09/2016 07:39:18",51.61622,0.00697
"04/09/2016 07:39:23",51.61626,0.00708
"04/09/2016 07:39:28",51.61623,0.00699
"04/09/2016 07:40:23",51.61623,0.00699
"04/09/2016 07:40:28",51.61629,0.00714
"04/09/2016 07:42:19",51.61632,0.00719
"04/09/2016 07:42:24",51.61623,0.00701
"04/09/2016 07:42:29",51.61632,0.00719
"04/09/2016 07:42:34",51.61619,0.00694
"04/09/2016 07:46:15",51.61619,0.00694
"04/09/2016 07:46:20",51.61614,0.00685
"04/09/2016 07:46:25",51.61607,0.00671
"04/09/2016 07:46:30",51.61599,0.00654
"04/09/2016 07:46:35",51.61593,0.00637
"04/09/2016 07:46:40",51.61589,0.00624
"04/09/2016 07:46:45",51.61586,0.00612
"04/09/2016 07:46:50",51.61581,0.00598
"04/09/2016 07:46:55",51.61578,0.00588
"04/09/2016 07:47:00",51.61574,0.00576
"04/09/2016 07:47:05",51.61561,0.0056
"04/09/2016 07:47:10",51.61556,0.00565
"04/09/2016 07:47:15",51.61542,0.00577
"04/09/2016 07:47:20",51.61521,0.00596
"04/09/2016 07:47:25",51.61509,0.00606
"04/09/2016 07:47:30",51.61491,0.00622
"04/09/2016 07:47:35",51.6147,0.0064
"04/09/2016 07:47:40",51.61457,0.00652
"04/09/2016 07:47:45",51.61445,0.00648
"04/09/2016 07:47:50",51.61415,0.00617
"04/09/2016 07:47:55",51.61383,0.0059
"04/09/2016 07:48:00",51.61354,0.00568
"04/09/2016 07:48:05",51.61324,0.00532
"04/09/2016 07:48:10",51.61294,0.00491
"04/09/2016 07:48:15",51.61263,0.00449
"04/09/2016 07:48:20",51.61233,0.00408
"04/09/2016 07:48:25",51.612,0.00364
"04/09/2016 07:48:30",51.61168,0.0032
"04/09/2016 07:48:35",51.61134,0.00275
"04/09/2016 07:48:40",51.611,0.00229
"04/09/2016 07:48:45",51.61059,0.0019
"04/09/2016 07:48:50",51.61016,0.00151
"04/09/2016 07:48:55",51.60974,0.00112
"04/09/2016 07:49:00",51.60932,0.00073
"04/09/2016 07:49:05",51.6089,0.00035
"04/09/2016 07:49:10",51.60855,0.00023
"04/09/2016 07:49:15",51.60821,0.0001
"04/09/2016 07:49:20",51.60791,0
"04/09/2016 07:49:25",51.60764,-0.00009
"04/09/2016 07:49:30",51.60751,-0.00016
"04/09/2016 07:49:35",51.60764,-0.00045
"04/09/2016 07:49:40",51.60769,-0.00068
"04/09/2016 07:49:45",51.6075,-0.00096
"04/09/2016 07:49:50",51.60725,-0.00123
"04/09/2016 07:49:55",51.60697,-0.00133
"04/09/2016 07:50:00",51.60664,-0.00145
"04/09/2016 07:50:05",51.60628,-0.00159
"04/09/2016 07:50:10",51.60591,-0.00174
"04/09/2016 07:50:15",51.6056,-0.00188
"04/09/2016 07:50:20",51.60527,-0.00204
"04/09/2016 07:50:25",51.60502,-0.00216
"04/09/2016 07:50:30",51.60478,-0.00228
"04/09/2016 07:50:35",51.60445,-0.00242
"04/09/2016 07:50:40",51.60411,-0.00253
"04/09/2016 07:50:45",51.60382,-0.00263
"04/09/2016 07:50:50",51.60347,-0.00277
"04/09/2016 07:50:55",51.60311,-0.00291
"04/09/2016 07:51:00",51.60274,-0.00306
"04/09/2016 07:51:05",51.60238,-0.0032
"04/09/2016 07:51:10",51.60195,-0.00337
"04/09/2016 07:51:15",51.60157,-0.00352
"04/09/2016 07:51:20",51.60118,-0.00367
"04/09/2016 07:51:25",51.60098,-0.00382
"04/09/2016 07:51:30",51.60092,-0.00427
"04/09/2016 07:51:35",51.60086,-0.00473
"04/09/2016 07:51:40",51.60067,-0.00491
"04/09/2016 07:51:45",51.60067,-0.00511
"04/09/2016 07:51:50",51.60067,-0.00574
"04/09/2016 07:51:55",51.60067,-0.00642
"04/09/2016 07:52:00",51.60067,-0.00709
"04/09/2016 07:52:05",51.60067,-0.00769
"04/09/2016 07:52:10",51.60067,-0.00831
