Latitude,Longitude,Time
51.53324,-0.28005,04/09/2016 07:45:35
51.53324,-0.28005,04/09/2016 07:45:35
51.53804,-0.28421,04/09/2016 07:46:24
51.5384,-0.28418,04/09/2016 07:46:29
51.53911,-0.28457,04/09/2016 07:46:34
51.53735,-0.28369,04/09/2016 07:46:39
51.53663,-0.28371,04/09/2016 07:46:44
51.53486,-0.28215,04/09/2016 07:46:50
51.53423,-0.28169,04/09/2016 07:46:55
51.53483,-0.28217,04/09/2016 07:47:00
51.53443,-0.28189,04/09/2016 07:47:05
51.53404,-0.28122,04/09/2016 07:47:10
51.53398,-0.28118,04/09/2016 07:47:15
51.5337,-0.28143,04/09/2016 07:47:20
51.53398,-0.28118,04/09/2016 07:47:25
51.53426,-0.28146,04/09/2016 07:47:30
51.53398,-0.28109,04/09/2016 07:47:35
51.53397,-0.28115,04/09/2016 07:47:40
51.53397,-0.28116,04/09/2016 07:47:45
51.53424,-0.28137,04/09/2016 07:47:50
51.53444,-0.28187,04/09/2016 07:47:55
51.53487,-0.28207,04/09/2016 07:48:00
51.53507,-0.28213,04/09/2016 07:48:05
51.53524,-0.28203,04/09/2016 07:48:08
51.53524,-0.28203,04/09/2016 07:48:08
51.53759,-0.28349,04/09/2016 07:48:30
51.54004,-0.28546,04/09/2016 07:48:36
51.54155,-0.28668,04/09/2016 07:48:41
51.54263,-0.28729,04/09/2016 07:48:46
51.54318,-0.28769,04/09/2016 07:48:49
51.54318,-0.28769,04/09/2016 07:48:49
51.53162,-0.27944,04/09/2016 07:49:16
51.53159,-0.27949,04/09/2016 07:49:25
51.5314,-0.27935,04/09/2016 07:49:35
51.5314,-0.27935,04/09/2016 07:49:35
51.53112,-0.27913,04/09/2016 07:49:45
51.53115,-0.27913,04/09/2016 07:49:55
51.53124,-0.27915,04/09/2016 07:50:05
51.5314,-0.27923,04/09/2016 07:50:12
51.53144,-0.2792,04/09/2016 07:50:15
51.53144,-0.2792,04/09/2016 07:50:15
51.53147,-0.27903,04/09/2016 07:50:25
51.53147,-0.27903,04/09/2016 07:50:25
51.53152,-0.27899,04/09/2016 07:50:35
51.53152,-0.27899,04/09/2016 07:50:35
51.5316,-0.27905,04/09/2016 07:50:45
51.5316,-0.27905,04/09/2016 07:50:45
51.53152,-0.27906,04/09/2016 07:50:55
51.53152,-0.27906,04/09/2016 07:50:55
51.53165,-0.27922,04/09/2016 07:51:05
51.53177,-0.27933,04/09/2016 07:51:12
51.53179,-0.27938,04/09/2016 07:51:15
51.53167,-0.27921,04/09/2016 07:51:25
51.53167,-0.27921,04/09/2016 07:51:25
51.53134,-0.27875,04/09/2016 07:51:35
51.53134,-0.27875,04/09/2016 07:51:35
51.53195,-0.2789,04/09/2016 07:51:45
51.53195,-0.2789,04/09/2016 07:51:45
51.53212,-0.27801,04/09/2016 07:51:55
51.53212,-0.27801,04/09/2016 07:51:55
51.53202,-0.278,04/09/2016 07:52:05
51.53203,-0.278,04/09/2016 07:52:35
51.53214,-0.27865,04/09/2016 07:52:45
51.53214,-0.27865,04/09/2016 07:52:45
51.53177,-0.27982,04/09/2016 07:52:55
51.53177,-0.27982,04/09/2016 07:52:55
51.5312,-0.2797,04/09/2016 07:53:05
51.53077,-0.27938,04/09/2016 07:53:12
51.53067,-0.27898,04/09/2016 07:53:15
51.53067,-0.27898,04/09/2016 07:53:15
51.53075,-0.27877,04/09/2016 07:53:25
51.53075,-0.27877,04/09/2016 07:53:25
51.53057,-0.27854,04/09/2016 07:53:35
51.53057,-0.27854,04/09/2016 07:53:35
51.52945,-0.2787,04/09/2016 07:53:45
51.52884,-0.28029,04/09/2016 07:53:55
51.52884,-0.28029,04/09/2016 07:53:55
51.52878,-0.28129,04/09/2016 07:54:05
51.52889,-0.28193,04/09/2016 07:54:09
51.52904,-0.28301,04/09/2016 07:54:15
51.529,-0.28327,04/09/2016 07:54:17
51.52855,-0.28435,04/09/2016 07:54:25
51.52855,-0.28435,04/09/2016 07:54:25
51.52805,-0.28548,04/09/2016 07:54:35
51.52805,-0.28548,04/09/2016 07:54:35
51.52809,-0.28544,04/09/2016 07:54:45
51.52809,-0.28544,04/09/2016 07:54:45
51.52794,-0.28554,04/09/2016 07:54:55
51.52794,-0.28554,04/09/2016 07:54:55
51.5273,-0.28425,04/09/2016 07:55:05
51.52684,-0.2823,04/09/2016 07:55:12
51.52677,-0.28146,04/09/2016 07:55:15
51.52675,-0.27943,04/09/2016 07:55:22
51.52672,-0.27862,04/09/2016 07:55:25
51.52672,-0.27862,04/09/2016 07:55:25
51.52652,-0.276,04/09/2016 07:55:35
51.52652,-0.276,04/09/2016 07:55:35
51.52613,-0.27359,04/09/2016 07:55:45
51.52613,-0.27359,04/09/2016 07:55:45
51.52556,-0.27145,04/09/2016 07:55:55
51.52521,-0.26971,04/09/2016 07:56:04
51.5246,-0.26825,04/09/2016 07:56:08
51.5242,-0.267,04/09/2016 07:56:13
51.52386,-0.26617,04/09/2016 07:56:18
51.52342,-0.2654,04/09/2016 07:56:23
51.52272,-0.26449,04/09/2016 07:56:28
51.52197,-0.26383,04/09/2016 07:56:34
51.52143,-0.26351,04/09/2016 07:56:38
51.52057,-0.26302,04/09/2016 07:56:44
51.51996,-0.26266,04/09/2016 07:56:49
51.51966,-0.26247,04/09/2016 07:56:54
51.5193,-0.26223,04/09/2016 07:56:59
51.51952,-0.26238,04/09/2016 07:57:04
51.51918,-0.26214,04/09/2016 07:57:10
51.51925,-0.26219,04/09/2016 07:57:14
51.51895,-0.26198,04/09/2016 07:57:19
51.5183,-0.26155,04/09/2016 07:57:25
51.51767,-0.26106,04/09/2016 07:57:29
51.517,-0.26039,04/09/2016 07:57:34
51.51608,-0.25888,04/09/2016 07:57:40
51.51541,-0.2574,04/09/2016 07:57:46
51.51477,-0.25683,04/09/2016 07:57:52
51.51418,-0.25575,04/09/2016 07:57:56
51.51445,-0.25439,04/09/2016 07:58:01
51.51424,-0.25345,04/09/2016 07:58:06
51.51406,-0.25219,04/09/2016 07:58:11
51.51397,-0.25104,04/09/2016 07:58:16
51.51391,-0.24987,04/09/2016 07:58:22
51.51388,-0.24904,04/09/2016 07:58:26
51.5138,-0.24896,04/09/2016 07:58:31
51.51367,-0.24884,04/09/2016 07:58:36
51.51355,-0.24872,04/09/2016 07:58:41
51.51341,-0.24859,04/09/2016 07:58:46
51.51389,-0.24917,04/09/2016 07:58:51
51.51391,-0.24915,04/09/2016 07:59:17
51.51381,-0.24897,04/09/2016 07:59:22
51.51334,-0.24852,04/09/2016 07:59:28
51.51279,-0.24803,04/09/2016 07:59:32
51.51229,-0.24757,04/09/2016 07:59:37
51.51171,-0.24711,04/09/2016 07:59:43
51.51127,-0.24675,04/09/2016 07:59:47
51.51081,-0.24645,04/09/2016 07:59:52
51.51032,-0.24622,04/09/2016 07:59:58
51.50977,-0.24602,04/09/2016 08:00:02
51.50914,-0.24584,04/09/2016 08:00:07
51.50845,-0.24563,04/09/2016 08:00:13
51.50773,-0.24543,04/09/2016 08:00:19
51.5072,-0.24528,04/09/2016 08:00:23
51.50665,-0.2451,04/09/2016 08:00:29
51.50685,-0.24517,04/09/2016 08:00:36
51.50685,-0.24517,04/09/2016 08:00:45
51.50677,-0.24515,04/09/2016 08:00:51
51.50692,-0.24519,04/09/2016 08:00:56
51.50692,-0.24519,04/09/2016 08:01:01
51.50665,-0.2451,04/09/2016 08:01:07
51.5062,-0.2449,04/09/2016 08:01:11
51.50538,-0.2445,04/09/2016 08:01:16
51.50466,-0.24393,04/09/2016 08:01:21
51.50397,-0.24354,04/09/2016 08:01:26
51.50344,-0.24268,04/09/2016 08:01:31
51.5028,-0.24251,04/09/2016 08:01:36
51.50308,-0.24318,04/09/2016 08:01:41
51.50273,-0.243,04/09/2016 08:01:46
51.50224,-0.24257,04/09/2016 08:01:52
51.502,-0.24216,04/09/2016 08:01:56
51.50149,-0.24051,04/09/2016 08:02:02
51.50106,-0.23986,04/09/2016 08:02:07
51.50056,-0.2396,04/09/2016 08:02:12
51.49994,-0.23923,04/09/2016 08:02:17
51.49978,-0.23903,04/09/2016 08:02:22
51.49952,-0.239,04/09/2016 08:02:28
51.4988,-0.23932,04/09/2016 08:02:32
51.49918,-0.24047,04/09/2016 08:02:37
51.49951,-0.24187,04/09/2016 08:02:43
51.49946,-0.24354,04/09/2016 08:02:48
51.4995,-0.24456,04/09/2016 08:02:53
51.49919,-0.24529,04/09/2016 08:02:58
51.49937,-0.24573,04/09/2016 08:03:04
51.49921,-0.24587,04/09/2016 08:03:08
51.49826,-0.24618,04/09/2016 08:03:13
51.49782,-0.24698,04/09/2016 08:03:19
51.49756,-0.24767,04/09/2016 08:03:23
51.49736,-0.24822,04/09/2016 08:03:28
51.49729,-0.2484,04/09/2016 08:03:33
51.49729,-0.24817,04/09/2016 08:03:38
51.49705,-0.24801,04/09/2016 08:03:43
51.49701,-0.24788,04/09/2016 08:03:48
