Latitude,Longitude,Time
51.76951,-0.24514,04/09/2016 08:10:35
51.76948,-0.24493,04/09/2016 08:10:40
51.76938,-0.24468,04/09/2016 08:10:45
51.76945,-0.24451,04/09/2016 08:10:50
51.76963,-0.24446,04/09/2016 08:10:55
51.76979,-0.24429,04/09/2016 08:11:00
51.76997,-0.24415,04/09/2016 08:11:05
51.77013,-0.24401,04/09/2016 08:11:10
51.77039,-0.2438,04/09/2016 08:11:15
51.77053,-0.2437,04/09/2016 08:11:20
51.7707,-0.24356,04/09/2016 08:11:25
51.771,-0.24336,04/09/2016 08:11:30
51.7711,-0.24306,04/09/2016 08:11:35
51.77106,-0.24273,04/09/2016 08:11:41
51.77101,-0.2426,04/09/2016 08:11:46
51.77095,-0.24246,04/09/2016 08:11:51
51.77069,-0.24186,04/09/2016 08:11:57
51.77043,-0.24139,04/09/2016 08:12:02
51.77066,-0.24081,04/09/2016 08:12:07
51.77115,-0.24038,04/09/2016 08:12:12
51.77173,-0.23992,04/09/2016 08:12:17
51.77218,-0.23956,04/09/2016 08:12:22
51.77252,-0.2394,04/09/2016 08:12:27
51.77227,-0.239,04/09/2016 08:12:32
51.77193,-0.23814,04/09/2016 08:12:37
51.77136,-0.23755,04/09/2016 08:12:42
51.77083,-0.23705,04/09/2016 08:12:47
51.77046,-0.23652,04/09/2016 08:12:52
51.77011,-0.23572,04/09/2016 08:12:57
51.76981,-0.23487,04/09/2016 08:13:02
51.76973,-0.234,04/09/2016 08:13:07
51.76999,-0.2334,04/09/2016 08:13:13
51.76985,-0.2327,04/09/2016 08:13:18
51.76932,-0.23276,04/09/2016 08:13:23
51.76888,-0.23352,04/09/2016 08:13:28
51.76817,-0.23435,04/09/2016 08:13:33
51.76731,-0.23519,04/09/2016 08:13:38
51.76641,-0.23595,04/09/2016 08:13:43
51.76555,-0.23668,04/09/2016 08:13:48
51.76498,-0.23714,04/09/2016 08:13:53
51.76502,-0.23711,04/09/2016 08:14:07
51.76505,-0.23708,04/09/2016 08:14:13
51.76469,-0.23739,04/09/2016 08:14:18
51.76396,-0.23803,04/09/2016 08:14:23
51.76315,-0.23881,04/09/2016 08:14:28
51.76242,-0.2399,04/09/2016 08:14:33
51.76169,-0.24142,04/09/2016 08:14:39
51.76101,-0.24249,04/09/2016 08:14:44
51.76083,-0.24258,04/09/2016 08:14:49
51.76069,-0.24262,04/09/2016 08:14:54
51.76041,-0.24287,04/09/2016 08:14:59
51.75975,-0.24346,04/09/2016 08:15:04
51.75881,-0.24396,04/09/2016 08:15:09
51.75779,-0.2445,04/09/2016 08:15:14
