Latitude,Longitude,Time
52.58974,-1.62323,04/09/2016 06:03:25
52.58966,-1.62324,04/09/2016 06:03:31
52.58951,-1.62331,04/09/2016 06:03:35
52.58948,-1.62333,04/09/2016 06:03:41
52.58943,-1.62342,04/09/2016 06:03:46
52.58942,-1.62346,04/09/2016 06:08:35
52.58956,-1.6232,04/09/2016 06:08:40
52.58954,-1.62306,04/09/2016 06:08:45
52.58943,-1.62322,04/09/2016 06:08:50
52.58934,-1.62343,04/09/2016 06:08:55
52.58926,-1.62368,04/09/2016 06:09:00
52.58916,-1.62391,04/09/2016 06:09:05
52.58912,-1.62414,04/09/2016 06:09:10
52.58919,-1.62433,04/09/2016 06:09:15
52.58929,-1.62441,04/09/2016 06:09:20
52.58947,-1.62425,04/09/2016 06:09:25
52.58974,-1.62393,04/09/2016 06:09:31
52.58995,-1.62372,04/09/2016 06:09:36
52.5902,-1.62362,04/09/2016 06:09:41
52.59046,-1.62364,04/09/2016 06:09:46
52.59067,-1.62338,04/09/2016 06:09:51
52.59083,-1.62304,04/09/2016 06:09:56
52.59103,-1.62281,04/09/2016 06:10:01
52.591,-1.62231,04/09/2016 06:10:06
52.59112,-1.62192,04/09/2016 06:10:11
52.59122,-1.62162,04/09/2016 06:10:16
52.59129,-1.62138,04/09/2016 06:10:21
52.59135,-1.62114,04/09/2016 06:10:26
52.59133,-1.62089,04/09/2016 06:10:31
52.59143,-1.62082,04/09/2016 06:10:36
52.59154,-1.62085,04/09/2016 06:10:41
52.59168,-1.62089,04/09/2016 06:10:46
52.5917,-1.62062,04/09/2016 06:10:51
52.59177,-1.62037,04/09/2016 06:10:56
52.5919,-1.62038,04/09/2016 06:11:01
52.59196,-1.62071,04/09/2016 06:11:06
52.59171,-1.6213,04/09/2016 06:11:12
52.59149,-1.62186,04/09/2016 06:11:17
52.59137,-1.62241,04/09/2016 06:11:22
52.59159,-1.62281,04/09/2016 06:11:27
52.59185,-1.62339,04/09/2016 06:11:32
52.59199,-1.62391,04/09/2016 06:11:37
52.59211,-1.62445,04/09/2016 06:11:42
52.59209,-1.62499,04/09/2016 06:11:47
52.59196,-1.62535,04/09/2016 06:11:52
52.59225,-1.62534,04/09/2016 06:11:57
52.5926,-1.62558,04/09/2016 06:12:02
52.593,-1.62583,04/09/2016 06:12:07
52.59338,-1.62596,04/09/2016 06:12:12
52.59391,-1.62613,04/09/2016 06:12:18
52.59416,-1.62642,04/09/2016 06:12:23
52.59462,-1.62662,04/09/2016 06:12:28
52.59502,-1.62691,04/09/2016 06:12:33
52.59537,-1.62734,04/09/2016 06:12:38
52.59565,-1.62774,04/09/2016 06:12:43
52.59581,-1.62821,04/09/2016 06:12:48
52.5961,-1.62834,04/09/2016 06:12:53
52.59639,-1.62864,04/09/2016 06:12:59
52.59679,-1.62887,04/09/2016 06:13:04
52.59727,-1.62887,04/09/2016 06:13:09
52.59765,-1.62905,04/09/2016 06:13:14
52.598,-1.62883,04/09/2016 06:13:19
52.59849,-1.62861,04/09/2016 06:13:25
52.59887,-1.62844,04/09/2016 06:13:30
52.59918,-1.6284,04/09/2016 06:13:35
52.59956,-1.62806,04/09/2016 06:13:40
52.59989,-1.62777,04/09/2016 06:13:45
52.60016,-1.62732,04/09/2016 06:13:50
52.60039,-1.62694,04/09/2016 06:13:55
52.60053,-1.6268,04/09/2016 06:14:00
52.60062,-1.62674,04/09/2016 06:14:05
52.6007,-1.62711,04/09/2016 06:14:10
52.6009,-1.62811,04/09/2016 06:14:15
52.60118,-1.62948,04/09/2016 06:14:20
52.6015,-1.63107,04/09/2016 06:14:25
52.60188,-1.63294,04/09/2016 06:14:30
52.6023,-1.63522,04/09/2016 06:14:36
52.60264,-1.63716,04/09/2016 06:14:41
52.6028,-1.63872,04/09/2016 06:14:46
52.60278,-1.63977,04/09/2016 06:14:52
52.6027,-1.64034,04/09/2016 06:14:57
52.60243,-1.6407,04/09/2016 06:15:02
52.60211,-1.64143,04/09/2016 06:15:07
52.60219,-1.64219,04/09/2016 06:15:12
52.60254,-1.64297,04/09/2016 06:15:17
52.60305,-1.64337,04/09/2016 06:15:22
52.60343,-1.64331,04/09/2016 06:15:27
52.60351,-1.64326,04/09/2016 06:15:32
52.60356,-1.64323,04/09/2016 06:15:37
52.60391,-1.64288,04/09/2016 06:15:43
52.60425,-1.64233,04/09/2016 06:15:48
52.60444,-1.64136,04/09/2016 06:15:54
52.60483,-1.6405,04/09/2016 06:15:59
52.6056,-1.63955,04/09/2016 06:16:04
52.60646,-1.63869,04/09/2016 06:16:09
52.60738,-1.63782,04/09/2016 06:16:14
52.60831,-1.63713,04/09/2016 06:16:19
52.60928,-1.63649,04/09/2016 06:16:24
52.61064,-1.63567,04/09/2016 06:16:30
52.61161,-1.63514,04/09/2016 06:16:34
52.61301,-1.63436,04/09/2016 06:16:40
52.61422,-1.63369,04/09/2016 06:16:45
52.61539,-1.63304,04/09/2016 06:16:50
52.61652,-1.63231,04/09/2016 06:16:55
52.61767,-1.63157,04/09/2016 06:17:00
52.6188,-1.63079,04/09/2016 06:17:05
52.6199,-1.62992,04/09/2016 06:17:10
52.62099,-1.62902,04/09/2016 06:17:15
52.62206,-1.62799,04/09/2016 06:17:20
52.62312,-1.62693,04/09/2016 06:17:25
52.62415,-1.6259,04/09/2016 06:17:30
52.62518,-1.62479,04/09/2016 06:17:35
52.62614,-1.6236,04/09/2016 06:17:40
52.62713,-1.62237,04/09/2016 06:17:45
52.62809,-1.62111,04/09/2016 06:17:50
52.62901,-1.61974,04/09/2016 06:17:55
52.62994,-1.61837,04/09/2016 06:18:00
52.63084,-1.61693,04/09/2016 06:18:05
52.6317,-1.61547,04/09/2016 06:18:10
52.63254,-1.6139,04/09/2016 06:18:15
52.63336,-1.61235,04/09/2016 06:18:20
52.63416,-1.61084,04/09/2016 06:18:25
52.63498,-1.60929,04/09/2016 06:18:30
52.63579,-1.60778,04/09/2016 06:18:35
52.63666,-1.60635,04/09/2016 06:18:40
52.63754,-1.60496,04/09/2016 06:18:45
52.63846,-1.60353,04/09/2016 06:18:50
52.63943,-1.60232,04/09/2016 06:18:55
52.64041,-1.60113,04/09/2016 06:19:00
52.6414,-1.59995,04/09/2016 06:19:05
52.64243,-1.5989,04/09/2016 06:19:10
52.64365,-1.59767,04/09/2016 06:19:16
52.64468,-1.59662,04/09/2016 06:19:21
52.64578,-1.5955,04/09/2016 06:19:26
52.64684,-1.59443,04/09/2016 06:19:31
52.64789,-1.59336,04/09/2016 06:19:36
52.64895,-1.59228,04/09/2016 06:19:41
52.65,-1.59121,04/09/2016 06:19:46
52.65101,-1.5901,04/09/2016 06:19:51
52.65203,-1.58891,04/09/2016 06:19:56
52.65304,-1.58773,04/09/2016 06:20:01
52.65405,-1.58654,04/09/2016 06:20:06
52.65506,-1.58536,04/09/2016 06:20:11
52.65604,-1.58413,04/09/2016 06:20:16
52.65701,-1.58288,04/09/2016 06:20:21
52.65797,-1.58156,04/09/2016 06:20:26
52.65891,-1.58028,04/09/2016 06:20:31
52.65986,-1.57898,04/09/2016 06:20:36
52.66081,-1.57765,04/09/2016 06:20:41
52.66171,-1.57628,04/09/2016 06:20:46
52.6626,-1.57491,04/09/2016 06:20:51
52.66352,-1.57352,04/09/2016 06:20:56
52.66442,-1.57215,04/09/2016 06:21:01
52.66533,-1.57076,04/09/2016 06:21:06
52.66624,-1.56939,04/09/2016 06:21:11
52.66716,-1.56802,04/09/2016 06:21:16
52.66806,-1.56666,04/09/2016 06:21:21
52.66898,-1.56528,04/09/2016 06:21:26
52.6699,-1.56391,04/09/2016 06:21:31
52.67088,-1.56264,04/09/2016 06:21:36
52.67185,-1.56136,04/09/2016 06:21:41
52.67287,-1.56018,04/09/2016 06:21:46
52.67388,-1.55902,04/09/2016 06:21:51
52.67491,-1.55793,04/09/2016 06:21:56
52.67599,-1.55691,04/09/2016 06:22:01
52.67728,-1.55572,04/09/2016 06:22:07
52.67836,-1.55472,04/09/2016 06:22:12
52.6795,-1.5538,04/09/2016 06:22:17
52.68061,-1.55296,04/09/2016 06:22:22
52.68176,-1.5522,04/09/2016 06:22:27
52.68293,-1.55143,04/09/2016 06:22:32
52.68407,-1.55073,04/09/2016 06:22:37
52.68521,-1.55011,04/09/2016 06:22:42
52.68643,-1.54952,04/09/2016 06:22:47
52.68761,-1.54898,04/09/2016 06:22:52
52.68884,-1.54855,04/09/2016 06:22:57
52.69006,-1.54814,04/09/2016 06:23:02
52.69125,-1.54773,04/09/2016 06:23:07
52.69245,-1.54732,04/09/2016 06:23:12
52.69369,-1.54693,04/09/2016 06:23:17
52.69487,-1.54644,04/09/2016 06:23:22
52.69605,-1.54588,04/09/2016 06:23:27
52.69722,-1.54516,04/09/2016 06:23:32
52.69833,-1.54437,04/09/2016 06:23:37
52.69942,-1.54338,04/09/2016 06:23:42
52.70049,-1.54229,04/09/2016 06:23:47
