Latitude,Longitude,Time
53.74196,-1.65636,04/09/2016 06:33:49
53.74169,-1.65625,04/09/2016 06:33:55
53.74157,-1.65623,04/09/2016 06:34:00
53.74136,-1.65576,04/09/2016 06:34:05
53.74105,-1.65506,04/09/2016 06:34:11
53.74085,-1.65467,04/09/2016 06:34:16
53.74044,-1.65421,04/09/2016 06:34:21
53.73972,-1.6535,04/09/2016 06:34:26
53.73941,-1.65299,04/09/2016 06:34:31
53.73932,-1.65253,04/09/2016 06:34:36
53.73952,-1.6523,04/09/2016 06:34:41
53.73996,-1.6517,04/09/2016 06:34:48
53.74024,-1.65118,04/09/2016 06:34:57
53.74017,-1.65136,04/09/2016 06:35:06
53.74022,-1.65125,04/09/2016 06:35:12
53.74007,-1.65008,04/09/2016 06:35:18
53.74078,-1.64843,04/09/2016 06:35:24
53.74156,-1.64754,04/09/2016 06:35:29
53.74222,-1.64612,04/09/2016 06:35:34
53.74292,-1.64508,04/09/2016 06:35:39
53.74351,-1.64424,04/09/2016 06:35:44
53.744,-1.64381,04/09/2016 06:35:49
53.74429,-1.64321,04/09/2016 06:35:54
53.74467,-1.64253,04/09/2016 06:35:59
53.74518,-1.64158,04/09/2016 06:36:04
53.74566,-1.64086,04/09/2016 06:36:09
53.74598,-1.64073,04/09/2016 06:36:14
53.74641,-1.64054,04/09/2016 06:36:19
53.74659,-1.64017,04/09/2016 06:36:24
53.74671,-1.63951,04/09/2016 06:36:30
53.74707,-1.63869,04/09/2016 06:36:35
53.74757,-1.63797,04/09/2016 06:36:40
53.74783,-1.63703,04/09/2016 06:36:45
53.74863,-1.63632,04/09/2016 06:36:50
53.74836,-1.63632,04/09/2016 06:36:55
53.74767,-1.63547,04/09/2016 06:37:00
53.7472,-1.63385,04/09/2016 06:37:06
53.74663,-1.63224,04/09/2016 06:37:11
53.74601,-1.63058,04/09/2016 06:37:16
53.74518,-1.6289,04/09/2016 06:37:21
53.74435,-1.62762,04/09/2016 06:37:26
53.74339,-1.62645,04/09/2016 06:37:31
53.74231,-1.62546,04/09/2016 06:37:36
53.74114,-1.62466,04/09/2016 06:37:41
53.73932,-1.62329,04/09/2016 06:37:49
53.73801,-1.622,04/09/2016 06:37:55
53.73702,-1.62063,04/09/2016 06:38:00
53.73607,-1.61915,04/09/2016 06:38:05
53.73531,-1.61762,04/09/2016 06:38:10
53.73462,-1.61588,04/09/2016 06:38:15
53.73394,-1.61419,04/09/2016 06:38:20
53.73331,-1.61245,04/09/2016 06:38:25
53.73268,-1.61064,04/09/2016 06:38:30
53.73206,-1.60886,04/09/2016 06:38:35
53.73142,-1.60702,04/09/2016 06:38:40
53.7308,-1.60524,04/09/2016 06:38:45
53.73028,-1.60333,04/09/2016 06:38:50
53.72997,-1.60134,04/09/2016 06:38:55
53.72973,-1.59934,04/09/2016 06:39:00
53.72971,-1.59739,04/09/2016 06:39:05
53.72948,-1.59563,04/09/2016 06:39:10
53.73018,-1.59312,04/09/2016 06:39:16
53.73065,-1.59124,04/09/2016 06:39:21
53.73123,-1.58944,04/09/2016 06:39:26
53.73194,-1.58723,04/09/2016 06:39:31
53.73253,-1.58494,04/09/2016 06:39:36
53.73311,-1.58277,04/09/2016 06:39:41
53.73345,-1.58099,04/09/2016 06:39:46
53.7334,-1.57903,04/09/2016 06:39:51
53.7335,-1.57703,04/09/2016 06:39:56
53.73354,-1.57499,04/09/2016 06:40:01
53.73352,-1.57286,04/09/2016 06:40:06
53.7335,-1.57074,04/09/2016 06:40:11
53.73348,-1.56896,04/09/2016 06:40:16
53.73347,-1.56667,04/09/2016 06:40:22
53.73346,-1.56428,04/09/2016 06:40:27
53.73343,-1.56202,04/09/2016 06:40:32
53.73341,-1.5597,04/09/2016 06:40:37
53.73339,-1.55741,04/09/2016 06:40:42
53.73379,-1.55522,04/09/2016 06:40:47
53.73336,-1.55363,04/09/2016 06:40:52
53.73334,-1.55176,04/09/2016 06:40:57
53.73333,-1.54958,04/09/2016 06:41:02
53.73332,-1.54734,04/09/2016 06:41:07
53.73337,-1.54537,04/09/2016 06:41:12
53.73349,-1.5434,04/09/2016 06:41:17
53.73369,-1.54122,04/09/2016 06:41:22
53.73397,-1.53863,04/09/2016 06:41:28
53.73419,-1.53659,04/09/2016 06:41:33
53.73426,-1.53449,04/09/2016 06:41:38
53.73429,-1.53246,04/09/2016 06:41:43
53.73421,-1.53032,04/09/2016 06:41:48
53.73408,-1.52844,04/09/2016 06:41:53
53.73384,-1.5262,04/09/2016 06:41:58
53.73349,-1.52417,04/09/2016 06:42:03
53.73308,-1.5222,04/09/2016 06:42:08
