Latitude,Longitude,Time
51.50327,-2.69049,04/09/2016 06:40:20
51.50327,-2.69049,04/09/2016 06:46:51
51.50332,-2.69048,04/09/2016 06:46:56
51.50349,-2.69045,04/09/2016 06:47:01
51.50366,-2.69041,04/09/2016 06:47:06
51.50381,-2.69038,04/09/2016 06:47:11
51.50385,-2.68988,04/09/2016 06:47:16
51.50384,-2.68945,04/09/2016 06:47:21
51.50364,-2.68917,04/09/2016 06:47:26
51.50341,-2.68921,04/09/2016 06:47:31
51.50328,-2.68923,04/09/2016 06:47:36
51.50324,-2.68924,04/09/2016 06:48:01
51.50275,-2.68942,04/09/2016 06:48:06
51.50276,-2.68966,04/09/2016 06:48:11
51.50277,-2.69052,04/09/2016 06:48:16
51.50254,-2.69136,04/09/2016 06:48:21
51.50167,-2.69115,04/09/2016 06:48:27
51.50089,-2.69034,04/09/2016 06:48:32
51.50026,-2.68889,04/09/2016 06:48:37
51.50001,-2.68699,04/09/2016 06:48:42
51.49985,-2.685,04/09/2016 06:48:47
51.49971,-2.683,04/09/2016 06:48:52
51.49959,-2.68106,04/09/2016 06:48:57
51.49984,-2.67915,04/09/2016 06:49:02
51.50073,-2.6772,04/09/2016 06:49:08
51.50152,-2.67572,04/09/2016 06:49:13
51.50232,-2.67421,04/09/2016 06:49:18
51.50319,-2.67279,04/09/2016 06:49:23
51.50413,-2.67151,04/09/2016 06:49:28
51.50494,-2.67004,04/09/2016 06:49:33
51.5055,-2.66826,04/09/2016 06:49:38
51.50604,-2.66652,04/09/2016 06:49:43
51.50684,-2.66445,04/09/2016 06:49:49
51.5076,-2.6629,04/09/2016 06:49:54
51.50838,-2.66133,04/09/2016 06:49:59
51.50917,-2.65977,04/09/2016 06:50:04
51.50994,-2.65823,04/09/2016 06:50:09
51.51072,-2.65667,04/09/2016 06:50:14
51.5115,-2.65512,04/09/2016 06:50:19
51.51228,-2.65356,04/09/2016 06:50:24
51.51304,-2.65202,04/09/2016 06:50:29
51.51381,-2.65051,04/09/2016 06:50:34
51.51458,-2.64899,04/09/2016 06:50:39
51.5153,-2.64742,04/09/2016 06:50:44
51.51597,-2.64575,04/09/2016 06:50:49
51.51663,-2.64409,04/09/2016 06:50:54
51.51726,-2.64244,04/09/2016 06:50:59
51.51786,-2.6408,04/09/2016 06:51:04
51.51847,-2.63913,04/09/2016 06:51:09
51.51908,-2.63744,04/09/2016 06:51:14
51.51969,-2.63578,04/09/2016 06:51:19
51.5203,-2.63409,04/09/2016 06:51:24
51.52091,-2.6324,04/09/2016 06:51:29
51.52154,-2.63068,04/09/2016 06:51:34
51.52216,-2.62895,04/09/2016 06:51:39
51.52279,-2.62721,04/09/2016 06:51:44
51.52341,-2.6255,04/09/2016 06:51:49
51.52403,-2.62379,04/09/2016 06:51:54
51.52468,-2.62203,04/09/2016 06:51:59
51.52529,-2.62033,04/09/2016 06:52:04
51.52603,-2.61827,04/09/2016 06:52:10
51.52667,-2.61653,04/09/2016 06:52:15
51.52727,-2.61484,04/09/2016 06:52:20
51.52786,-2.61308,04/09/2016 06:52:25
51.52837,-2.61126,04/09/2016 06:52:30
51.52878,-2.60936,04/09/2016 06:52:35
51.52914,-2.60745,04/09/2016 06:52:40
51.52951,-2.60553,04/09/2016 06:52:45
51.52986,-2.60365,04/09/2016 06:52:50
51.5303,-2.60181,04/09/2016 06:52:55
51.53081,-2.59998,04/09/2016 06:53:00
51.53143,-2.59822,04/09/2016 06:53:05
51.53213,-2.59655,04/09/2016 06:53:10
51.53289,-2.59496,04/09/2016 06:53:15
51.53372,-2.59349,04/09/2016 06:53:20
51.53462,-2.59215,04/09/2016 06:53:25
51.53559,-2.59093,04/09/2016 06:53:30
51.53665,-2.58981,04/09/2016 06:53:35
51.53773,-2.58882,04/09/2016 06:53:40
51.53882,-2.58782,04/09/2016 06:53:45
51.53987,-2.58682,04/09/2016 06:53:50
51.54079,-2.58548,04/09/2016 06:53:55
51.54159,-2.58397,04/09/2016 06:54:00
51.54224,-2.58231,04/09/2016 06:54:05
51.54287,-2.58056,04/09/2016 06:54:10
51.54348,-2.57883,04/09/2016 06:54:15
51.5441,-2.57712,04/09/2016 06:54:20
51.54471,-2.57537,04/09/2016 06:54:25
51.54533,-2.57364,04/09/2016 06:54:30
51.54596,-2.57189,04/09/2016 06:54:35
51.54658,-2.57013,04/09/2016 06:54:40
51.5472,-2.56841,04/09/2016 06:54:45
51.54781,-2.56668,04/09/2016 06:54:50
51.5484,-2.56493,04/09/2016 06:54:55
51.549,-2.56319,04/09/2016 06:55:00
51.5496,-2.56144,04/09/2016 06:55:05
51.55016,-2.55923,04/09/2016 06:55:11
51.55059,-2.55739,04/09/2016 06:55:16
51.55094,-2.55549,04/09/2016 06:55:21
51.55126,-2.55356,04/09/2016 06:55:26
51.55158,-2.55162,04/09/2016 06:55:31
51.55194,-2.54974,04/09/2016 06:55:36
51.55241,-2.5479,04/09/2016 06:55:41
51.55289,-2.546,04/09/2016 06:55:46
51.55349,-2.54427,04/09/2016 06:55:51
51.5542,-2.54262,04/09/2016 06:55:56
51.55497,-2.54109,04/09/2016 06:56:01
51.5558,-2.53962,04/09/2016 06:56:06
51.55673,-2.53826,04/09/2016 06:56:11
51.55772,-2.53701,04/09/2016 06:56:16
51.55877,-2.53592,04/09/2016 06:56:21
51.55986,-2.53499,04/09/2016 06:56:26
51.56099,-2.53412,04/09/2016 06:56:31
51.56214,-2.53337,04/09/2016 06:56:36
51.5633,-2.53263,04/09/2016 06:56:41
51.56444,-2.53188,04/09/2016 06:56:46
51.5656,-2.53114,04/09/2016 06:56:51
51.56674,-2.5304,04/09/2016 06:56:56
51.56789,-2.52965,04/09/2016 06:57:01
51.56895,-2.52867,04/09/2016 06:57:06
51.57003,-2.52768,04/09/2016 06:57:11
51.57102,-2.52652,04/09/2016 06:57:16
51.57201,-2.52533,04/09/2016 06:57:21
51.57295,-2.52398,04/09/2016 06:57:26
51.57382,-2.52259,04/09/2016 06:57:31
51.57466,-2.5211,04/09/2016 06:57:36
51.57542,-2.51955,04/09/2016 06:57:41
51.57617,-2.51797,04/09/2016 06:57:46
