Latitude,Longitude,Time
52.5896,-1.62314,04/09/2016 05:35:33
52.58957,-1.6231,04/09/2016 05:35:44
52.58951,-1.62308,04/09/2016 05:35:48
52.58943,-1.62303,04/09/2016 05:35:53
52.58929,-1.62315,04/09/2016 05:35:59
52.5891,-1.62312,04/09/2016 05:36:03
52.58916,-1.62316,04/09/2016 05:36:08
52.58933,-1.62313,04/09/2016 05:36:14
52.58988,-1.62309,04/09/2016 05:36:18
52.58986,-1.62305,04/09/2016 05:36:23
52.58964,-1.62304,04/09/2016 05:36:29
52.58936,-1.62318,04/09/2016 05:36:33
52.58922,-1.62333,04/09/2016 05:36:38
52.58885,-1.62299,04/09/2016 05:36:44
52.58905,-1.62285,04/09/2016 05:36:48
52.58912,-1.62301,04/09/2016 05:36:54
52.58918,-1.62327,04/09/2016 05:37:00
52.58943,-1.62315,04/09/2016 05:37:06
52.58952,-1.6231,04/09/2016 05:37:11
52.58984,-1.6231,04/09/2016 05:37:15
52.59105,-1.62291,04/09/2016 05:37:21
52.59159,-1.62283,04/09/2016 05:37:26
52.59161,-1.62286,04/09/2016 05:37:30
52.59119,-1.62293,04/09/2016 05:37:36
52.5916,-1.6229,04/09/2016 05:37:41
52.59211,-1.62304,04/09/2016 05:37:47
52.59181,-1.62311,04/09/2016 05:37:53
52.59103,-1.62311,04/09/2016 05:37:57
52.59067,-1.62315,04/09/2016 05:38:02
52.59067,-1.62309,04/09/2016 05:38:08
52.5906,-1.62303,04/09/2016 05:38:12
52.59055,-1.62298,04/09/2016 05:38:17
52.59055,-1.62298,04/09/2016 05:38:17
52.59222,-1.62309,04/09/2016 05:39:02
52.59287,-1.62311,04/09/2016 05:39:08
52.59218,-1.62324,04/09/2016 05:39:12
52.59175,-1.6231,04/09/2016 05:39:17
52.59102,-1.62315,04/09/2016 05:39:23
52.59064,-1.62335,04/09/2016 05:39:27
52.58972,-1.62353,04/09/2016 05:39:32
52.58872,-1.62373,04/09/2016 05:39:38
52.58825,-1.62387,04/09/2016 05:39:44
52.588,-1.62395,04/09/2016 05:39:47
52.588,-1.62395,04/09/2016 05:39:47
52.58515,-1.62336,04/09/2016 05:40:08
52.58482,-1.62332,04/09/2016 05:40:14
52.58536,-1.6234,04/09/2016 05:40:18
52.58521,-1.62342,04/09/2016 05:40:23
52.58499,-1.62343,04/09/2016 05:40:29
52.5847,-1.62337,04/09/2016 05:40:33
52.58466,-1.62322,04/09/2016 05:40:38
52.58491,-1.62305,04/09/2016 05:40:44
52.58479,-1.62308,04/09/2016 05:40:48
52.58473,-1.62327,04/09/2016 05:40:54
52.58471,-1.62336,04/09/2016 05:40:57
52.58471,-1.62336,04/09/2016 05:40:57
52.58129,-1.62373,04/09/2016 05:43:39
52.58121,-1.62379,04/09/2016 05:43:44
52.58445,-1.62369,04/09/2016 05:43:50
52.58557,-1.62369,04/09/2016 05:43:54
52.58628,-1.6237,04/09/2016 05:44:00
52.58461,-1.62375,04/09/2016 05:44:05
52.58519,-1.62357,04/09/2016 05:44:11
52.5886,-1.62326,04/09/2016 05:44:15
52.58935,-1.62321,04/09/2016 05:44:20
52.59128,-1.62296,04/09/2016 05:44:26
52.59291,-1.62285,04/09/2016 05:44:30
52.5944,-1.62276,04/09/2016 05:44:35
52.59451,-1.62276,04/09/2016 05:44:41
52.59467,-1.62268,04/09/2016 05:44:45
52.59492,-1.62267,04/09/2016 05:44:51
52.59437,-1.62267,04/09/2016 05:44:56
52.59177,-1.62302,04/09/2016 05:45:00
52.59156,-1.62277,04/09/2016 05:45:06
52.59309,-1.62296,04/09/2016 05:45:11
52.59372,-1.62291,04/09/2016 05:45:15
52.59443,-1.62284,04/09/2016 05:45:21
52.59416,-1.62281,04/09/2016 05:45:26
52.59394,-1.62283,04/09/2016 05:45:32
52.59327,-1.62281,04/09/2016 05:45:36
52.59303,-1.62268,04/09/2016 05:45:42
52.59273,-1.62276,04/09/2016 05:45:47
52.59252,-1.62284,04/09/2016 05:45:51
52.59208,-1.62282,04/09/2016 05:45:57
52.59174,-1.62302,04/09/2016 05:46:02
52.59161,-1.62286,04/09/2016 05:46:08
52.59154,-1.62274,04/09/2016 05:46:11
52.59154,-1.62274,04/09/2016 05:46:11
52.5896,-1.6232,04/09/2016 06:58:57
52.58956,-1.62318,04/09/2016 07:00:23
52.58955,-1.62318,04/09/2016 07:00:32
52.58952,-1.62313,04/09/2016 07:04:49
52.58951,-1.62313,04/09/2016 07:04:54
52.58948,-1.62318,04/09/2016 07:13:33
52.58948,-1.62319,04/09/2016 07:13:38
52.58948,-1.62319,04/09/2016 07:15:15
52.58943,-1.62322,04/09/2016 07:15:20
52.58934,-1.62334,04/09/2016 07:15:25
52.58922,-1.62359,04/09/2016 07:15:30
52.58909,-1.62386,04/09/2016 07:15:35
52.58906,-1.62416,04/09/2016 07:15:40
52.58923,-1.62437,04/09/2016 07:15:45
52.58944,-1.62429,04/09/2016 07:15:50
52.58965,-1.62404,04/09/2016 07:15:55
52.58985,-1.62381,04/09/2016 07:16:00
52.59003,-1.62368,04/09/2016 07:16:05
52.59025,-1.62368,04/09/2016 07:16:10
52.59047,-1.62355,04/09/2016 07:16:15
52.59062,-1.62323,04/09/2016 07:16:20
52.59077,-1.62293,04/09/2016 07:16:25
52.5909,-1.62263,04/09/2016 07:16:30
52.59107,-1.62228,04/09/2016 07:16:35
52.59146,-1.62199,04/09/2016 07:16:40
52.59156,-1.62174,04/09/2016 07:16:45
52.59169,-1.6214,04/09/2016 07:16:50
52.59177,-1.62121,04/09/2016 07:16:56
52.59177,-1.62119,04/09/2016 07:17:00
52.59179,-1.62113,04/09/2016 07:17:07
52.59192,-1.6208,04/09/2016 07:17:12
52.592,-1.62059,04/09/2016 07:17:17
52.59195,-1.62072,04/09/2016 07:17:22
52.59175,-1.62123,04/09/2016 07:17:27
52.59155,-1.62176,04/09/2016 07:17:32
52.59154,-1.62274,04/09/2016 07:17:40
52.59172,-1.62307,04/09/2016 07:17:45
52.59192,-1.6236,04/09/2016 07:17:50
52.59205,-1.62416,04/09/2016 07:17:55
52.59215,-1.62479,04/09/2016 07:18:00
52.59194,-1.62526,04/09/2016 07:18:05
52.59225,-1.62534,04/09/2016 07:18:10
52.5926,-1.62558,04/09/2016 07:18:15
52.59297,-1.62582,04/09/2016 07:18:20
52.59333,-1.62594,04/09/2016 07:18:25
52.59372,-1.62607,04/09/2016 07:18:30
52.59405,-1.62641,04/09/2016 07:18:35
52.59444,-1.62649,04/09/2016 07:18:40
52.59482,-1.62676,04/09/2016 07:18:45
52.59516,-1.62704,04/09/2016 07:18:50
52.59542,-1.62742,04/09/2016 07:18:55
52.59575,-1.628,04/09/2016 07:19:00
52.59591,-1.62822,04/09/2016 07:19:05
52.59631,-1.62856,04/09/2016 07:19:10
52.59663,-1.62887,04/09/2016 07:19:15
52.59701,-1.62887,04/09/2016 07:19:20
52.59742,-1.62906,04/09/2016 07:19:25
52.59784,-1.6289,04/09/2016 07:19:31
52.59825,-1.62871,04/09/2016 07:19:36
52.59865,-1.62853,04/09/2016 07:19:41
52.59902,-1.62849,04/09/2016 07:19:46
52.59934,-1.62821,04/09/2016 07:19:51
52.59972,-1.62794,04/09/2016 07:19:56
52.60003,-1.62754,04/09/2016 07:20:01
52.6002,-1.62726,04/09/2016 07:20:05
52.60044,-1.62694,04/09/2016 07:20:11
52.60074,-1.6273,04/09/2016 07:20:16
52.60093,-1.62827,04/09/2016 07:20:21
52.6012,-1.62959,04/09/2016 07:20:26
52.60149,-1.63104,04/09/2016 07:20:31
52.60179,-1.6325,04/09/2016 07:20:36
52.6021,-1.63406,04/09/2016 07:20:41
52.60237,-1.63559,04/09/2016 07:20:46
52.60264,-1.63711,04/09/2016 07:20:51
52.6028,-1.63862,04/09/2016 07:20:56
52.60281,-1.6396,04/09/2016 07:21:01
52.60278,-1.63978,04/09/2016 07:21:06
52.60278,-1.63981,04/09/2016 07:21:16
52.60272,-1.6402,04/09/2016 07:21:21
52.60234,-1.64082,04/09/2016 07:21:26
52.60205,-1.6417,04/09/2016 07:21:31
52.60166,-1.64264,04/09/2016 07:21:36
52.60095,-1.64378,04/09/2016 07:21:41
52.60017,-1.64506,04/09/2016 07:21:46
52.59935,-1.64646,04/09/2016 07:21:51
52.59848,-1.64786,04/09/2016 07:21:56
52.59754,-1.64921,04/09/2016 07:22:01
52.59652,-1.6504,04/09/2016 07:22:06
52.59524,-1.65164,04/09/2016 07:22:12
