Latitude,Longitude,Time
51.51946,0.14387,04/09/2016 07:03:59
51.51945,0.14386,04/09/2016 07:04:05
51.51947,0.14382,04/09/2016 07:06:35
51.5195,0.14372,04/09/2016 07:06:40
51.5195,0.14363,04/09/2016 07:06:45
51.51951,0.14357,04/09/2016 07:06:50
51.51958,0.14355,04/09/2016 07:06:55
51.51961,0.14357,04/09/2016 07:07:00
51.51998,0.14382,04/09/2016 07:07:05
51.51998,0.14407,04/09/2016 07:07:10
51.51996,0.14423,04/09/2016 07:07:15
51.51995,0.1443,04/09/2016 07:07:25
51.5197,0.14479,04/09/2016 07:07:30
51.51961,0.14491,04/09/2016 07:07:35
51.5196,0.14492,04/09/2016 07:08:06
51.51959,0.14511,04/09/2016 07:08:11
51.51958,0.14536,04/09/2016 07:08:16
51.5197,0.14537,04/09/2016 07:08:21
51.52012,0.14546,04/09/2016 07:08:26
51.5206,0.14558,04/09/2016 07:08:31
51.52112,0.1457,04/09/2016 07:08:36
51.52141,0.14577,04/09/2016 07:08:41
51.52147,0.14579,04/09/2016 07:08:46
51.52151,0.1458,04/09/2016 07:08:56
51.52153,0.1458,04/09/2016 07:09:00
51.52154,0.1458,04/09/2016 07:09:26
51.52186,0.14588,04/09/2016 07:09:31
51.52196,0.14549,04/09/2016 07:09:36
51.52203,0.14469,04/09/2016 07:09:41
51.52212,0.14364,04/09/2016 07:09:46
51.52222,0.14267,04/09/2016 07:09:51
51.52237,0.14179,04/09/2016 07:09:56
51.52249,0.14092,04/09/2016 07:10:01
51.52258,0.14015,04/09/2016 07:10:06
51.52263,0.13969,04/09/2016 07:10:11
51.52291,0.13991,04/09/2016 07:10:16
51.52348,0.14006,04/09/2016 07:10:21
51.52429,0.14026,04/09/2016 07:10:26
51.52519,0.14049,04/09/2016 07:10:31
51.52607,0.14083,04/09/2016 07:10:36
51.52694,0.14115,04/09/2016 07:10:41
51.52775,0.14114,04/09/2016 07:10:46
51.52844,0.14064,04/09/2016 07:10:51
51.529,0.13961,04/09/2016 07:10:57
51.52938,0.13885,04/09/2016 07:11:02
51.52982,0.13864,04/09/2016 07:11:07
51.53008,0.1385,04/09/2016 07:11:12
51.53008,0.1385,04/09/2016 07:11:17
51.53025,0.1384,04/09/2016 07:11:22
51.53052,0.13804,04/09/2016 07:11:27
51.53084,0.13731,04/09/2016 07:11:32
51.53114,0.1363,04/09/2016 07:11:37
51.53133,0.13506,04/09/2016 07:11:42
51.53142,0.13377,04/09/2016 07:11:47
51.53143,0.13255,04/09/2016 07:11:52
51.53147,0.13139,04/09/2016 07:11:57
51.53157,0.13026,04/09/2016 07:12:02
51.53167,0.12909,04/09/2016 07:12:07
51.53168,0.12787,04/09/2016 07:12:12
51.53161,0.12669,04/09/2016 07:12:17
51.53155,0.12552,04/09/2016 07:12:22
51.53153,0.12437,04/09/2016 07:12:27
51.53159,0.12317,04/09/2016 07:12:32
51.53174,0.12201,04/09/2016 07:12:37
51.53191,0.12083,04/09/2016 07:12:42
51.53207,0.11966,04/09/2016 07:12:47
51.53223,0.11851,04/09/2016 07:12:52
51.5324,0.11734,04/09/2016 07:12:57
51.53257,0.11619,04/09/2016 07:13:02
51.53267,0.11501,04/09/2016 07:13:07
51.53271,0.11382,04/09/2016 07:13:12
51.53273,0.11261,04/09/2016 07:13:17
51.53279,0.11139,04/09/2016 07:13:22
51.53285,0.1102,04/09/2016 07:13:27
51.53284,0.10908,04/09/2016 07:13:32
51.53274,0.10793,04/09/2016 07:13:37
51.53259,0.10672,04/09/2016 07:13:42
51.53234,0.10553,04/09/2016 07:13:47
51.53212,0.10441,04/09/2016 07:13:52
51.5319,0.10329,04/09/2016 07:13:57
51.53168,0.10212,04/09/2016 07:14:02
51.53146,0.10094,04/09/2016 07:14:07
51.53126,0.09983,04/09/2016 07:14:12
51.53105,0.09865,04/09/2016 07:14:17
51.53078,0.09726,04/09/2016 07:14:22
51.53047,0.09572,04/09/2016 07:14:27
51.53012,0.09405,04/09/2016 07:14:32
51.52981,0.09245,04/09/2016 07:14:37
51.52961,0.09098,04/09/2016 07:14:42
51.52942,0.08953,04/09/2016 07:14:47
51.52925,0.08813,04/09/2016 07:14:52
51.52905,0.08677,04/09/2016 07:14:57
51.52875,0.08531,04/09/2016 07:15:02
51.52846,0.08402,04/09/2016 07:15:07
51.52818,0.08276,04/09/2016 07:15:12
51.52786,0.08141,04/09/2016 07:15:17
51.52746,0.08003,04/09/2016 07:15:22
51.52705,0.07867,04/09/2016 07:15:27
51.5266,0.07733,04/09/2016 07:15:32
51.52609,0.07588,04/09/2016 07:15:37
51.52559,0.07445,04/09/2016 07:15:42
51.52503,0.07282,04/09/2016 07:15:48
51.52457,0.07145,04/09/2016 07:15:53
51.52411,0.07009,04/09/2016 07:15:58
51.52364,0.06874,04/09/2016 07:16:03
51.52318,0.06744,04/09/2016 07:16:08
51.5227,0.06605,04/09/2016 07:16:13
51.52223,0.06471,04/09/2016 07:16:18
51.52175,0.06346,04/09/2016 07:16:23
51.52125,0.06217,04/09/2016 07:16:28
51.52076,0.06095,04/09/2016 07:16:33
51.52031,0.05967,04/09/2016 07:16:38
51.51995,0.05824,04/09/2016 07:16:43
51.51964,0.05677,04/09/2016 07:16:48
51.51951,0.05528,04/09/2016 07:16:53
51.51944,0.05381,04/09/2016 07:16:58
51.51953,0.05234,04/09/2016 07:17:03
51.51967,0.05079,04/09/2016 07:17:08
51.51981,0.04929,04/09/2016 07:17:13
51.51995,0.04786,04/09/2016 07:17:18
51.52007,0.04634,04/09/2016 07:17:23
51.52008,0.04478,04/09/2016 07:17:28
51.51992,0.04334,04/09/2016 07:17:33
51.51967,0.04189,04/09/2016 07:17:38
51.51941,0.04046,04/09/2016 07:17:43
51.51897,0.03908,04/09/2016 07:17:48
51.51847,0.03783,04/09/2016 07:17:53
51.51798,0.03653,04/09/2016 07:17:58
51.51759,0.03513,04/09/2016 07:18:03
51.51729,0.03369,04/09/2016 07:18:08
51.51708,0.03218,04/09/2016 07:18:13
51.517,0.03067,04/09/2016 07:18:18
51.51695,0.02917,04/09/2016 07:18:23
51.51703,0.02767,04/09/2016 07:18:28
51.51714,0.02622,04/09/2016 07:18:33
51.51725,0.02466,04/09/2016 07:18:38
51.51724,0.02313,04/09/2016 07:18:43
51.5172,0.02159,04/09/2016 07:18:48
51.51716,0.02007,04/09/2016 07:18:53
51.51712,0.01856,04/09/2016 07:18:58
51.51702,0.01712,04/09/2016 07:19:03
51.51683,0.01581,04/09/2016 07:19:08
51.51666,0.01493,04/09/2016 07:19:13
51.5165,0.01404,04/09/2016 07:19:18
51.51632,0.01307,04/09/2016 07:19:23
51.51609,0.01176,04/09/2016 07:19:28
51.51584,0.01039,04/09/2016 07:19:33
51.51558,0.00903,04/09/2016 07:19:38
51.51532,0.00761,04/09/2016 07:19:43
51.51502,0.0062,04/09/2016 07:19:48
51.51472,0.00476,04/09/2016 07:19:53
51.51443,0.00346,04/09/2016 07:19:58
51.51407,0.00236,04/09/2016 07:20:03
51.51358,0.00157,04/09/2016 07:20:08
51.51304,0.00108,04/09/2016 07:20:13
51.51268,0.00088,04/09/2016 07:20:19
51.51267,-0.00014,04/09/2016 07:20:24
51.51251,-0.00135,04/09/2016 07:20:30
51.51231,-0.00248,04/09/2016 07:20:35
51.51212,-0.00354,04/09/2016 07:20:40
51.51193,-0.00457,04/09/2016 07:20:45
51.51175,-0.00555,04/09/2016 07:20:50
51.5116,-0.00637,04/09/2016 07:20:55
51.51154,-0.00682,04/09/2016 07:21:00
51.51151,-0.00704,04/09/2016 07:21:05
51.51149,-0.00739,04/09/2016 07:21:10
51.51146,-0.00784,04/09/2016 07:21:15
51.51141,-0.00828,04/09/2016 07:21:20
51.51139,-0.00845,04/09/2016 07:21:25
51.51139,-0.00844,04/09/2016 07:21:49
51.51137,-0.00853,04/09/2016 07:21:55
51.5113,-0.00913,04/09/2016 07:22:00
51.51124,-0.0099,04/09/2016 07:22:05
51.51096,-0.01043,04/09/2016 07:22:10
51.51042,-0.01037,04/09/2016 07:22:15
51.5099,-0.0102,04/09/2016 07:22:20
51.50944,-0.00983,04/09/2016 07:22:25
51.50909,-0.00936,04/09/2016 07:22:30
51.50901,-0.00921,04/09/2016 07:22:35
51.50899,-0.00919,04/09/2016 07:22:50
51.50897,-0.00918,04/09/2016 07:22:55
51.50886,-0.00906,04/09/2016 07:23:00
51.50879,-0.00919,04/09/2016 07:23:05
