Latitude,Longitude,Time
51.76992,-0.24622,04/09/2016 07:57:55
51.76972,-0.24608,04/09/2016 07:58:00
51.76962,-0.24586,04/09/2016 07:58:05
51.76953,-0.2457,04/09/2016 07:58:10
51.76946,-0.24553,04/09/2016 07:58:15
51.76941,-0.24536,04/09/2016 07:58:20
51.76936,-0.24522,04/09/2016 07:58:25
51.7693,-0.24498,04/09/2016 07:58:30
51.76922,-0.24472,04/09/2016 07:58:35
51.76935,-0.24457,04/09/2016 07:58:40
51.76953,-0.24448,04/09/2016 07:58:45
51.7697,-0.24438,04/09/2016 07:58:50
51.76987,-0.24429,04/09/2016 07:58:55
51.77003,-0.24417,04/09/2016 07:59:00
51.77019,-0.24409,04/09/2016 07:59:05
51.77033,-0.24395,04/09/2016 07:59:10
51.77046,-0.2438,04/09/2016 07:59:15
51.77062,-0.24368,04/09/2016 07:59:20
51.77079,-0.24349,04/09/2016 07:59:25
51.77099,-0.24336,04/09/2016 07:59:30
51.77106,-0.24313,04/09/2016 07:59:35
51.77106,-0.2428,04/09/2016 07:59:40
51.77096,-0.24255,04/09/2016 07:59:45
51.77087,-0.24235,04/09/2016 07:59:50
51.77083,-0.24222,04/09/2016 07:59:55
51.77075,-0.24195,04/09/2016 08:00:00
51.77044,-0.24142,04/09/2016 08:00:05
51.77035,-0.24117,04/09/2016 08:00:10
51.77051,-0.24094,04/09/2016 08:00:15
51.7708,-0.24067,04/09/2016 08:00:20
51.77133,-0.24024,04/09/2016 08:00:25
51.77188,-0.2398,04/09/2016 08:00:30
51.77225,-0.23951,04/09/2016 08:00:35
51.77246,-0.23956,04/09/2016 08:00:40
51.77239,-0.23935,04/09/2016 08:00:45
51.77193,-0.23814,04/09/2016 08:00:50
51.77139,-0.23758,04/09/2016 08:00:55
51.7709,-0.23712,04/09/2016 08:01:00
51.7705,-0.23665,04/09/2016 08:01:05
51.77027,-0.23602,04/09/2016 08:01:10
51.76992,-0.2352,04/09/2016 08:01:15
51.76975,-0.23434,04/09/2016 08:01:20
51.76973,-0.23392,04/09/2016 08:01:25
51.7701,-0.23384,04/09/2016 08:01:30
51.77046,-0.23412,04/09/2016 08:01:35
51.77073,-0.23423,04/09/2016 08:01:41
51.77087,-0.23409,04/09/2016 08:01:46
51.77096,-0.23386,04/09/2016 08:01:51
51.77107,-0.23364,04/09/2016 08:01:56
51.77118,-0.23343,04/09/2016 08:02:01
51.77125,-0.23334,04/09/2016 08:02:06
51.77116,-0.23347,04/09/2016 08:02:11
51.77116,-0.23347,04/09/2016 08:06:20
51.77119,-0.2334,04/09/2016 08:06:26
51.77146,-0.23315,04/09/2016 08:06:31
51.77154,-0.23306,04/09/2016 08:06:36
51.77177,-0.23297,04/09/2016 08:06:41
51.77196,-0.23295,04/09/2016 08:06:46
51.77234,-0.23292,04/09/2016 08:06:51
51.77261,-0.2329,04/09/2016 08:06:56
51.77299,-0.23295,04/09/2016 08:07:01
51.77332,-0.233,04/09/2016 08:07:06
51.77368,-0.23305,04/09/2016 08:07:11
51.77405,-0.2331,04/09/2016 08:07:16
51.7744,-0.23315,04/09/2016 08:07:21
51.77467,-0.23319,04/09/2016 08:07:26
51.77504,-0.23324,04/09/2016 08:07:31
51.77524,-0.23327,04/09/2016 08:07:36
51.77557,-0.23332,04/09/2016 08:07:41
51.77596,-0.23337,04/09/2016 08:07:46
51.77635,-0.23343,04/09/2016 08:07:51
51.77667,-0.23348,04/09/2016 08:07:56
51.77711,-0.23355,04/09/2016 08:08:01
51.77771,-0.23364,04/09/2016 08:08:06
51.77841,-0.23376,04/09/2016 08:08:11
51.77915,-0.23409,04/09/2016 08:08:16
51.78006,-0.2345,04/09/2016 08:08:21
51.78104,-0.23494,04/09/2016 08:08:26
51.78204,-0.23528,04/09/2016 08:08:31
51.78307,-0.23547,04/09/2016 08:08:37
51.78347,-0.23548,04/09/2016 08:08:42
51.78386,-0.23552,04/09/2016 08:08:47
51.78457,-0.2355,04/09/2016 08:08:52
51.78537,-0.23548,04/09/2016 08:08:57
51.78628,-0.23546,04/09/2016 08:09:02
51.78713,-0.23569,04/09/2016 08:09:07
51.78793,-0.23609,04/09/2016 08:09:12
51.7888,-0.23634,04/09/2016 08:09:17
51.78972,-0.23643,04/09/2016 08:09:22
51.79058,-0.23652,04/09/2016 08:09:27
51.79148,-0.23651,04/09/2016 08:09:32
51.79222,-0.23644,04/09/2016 08:09:37
51.7929,-0.23665,04/09/2016 08:09:42
51.7933,-0.23657,04/09/2016 08:09:47
51.79351,-0.23694,04/09/2016 08:09:52
51.79371,-0.23766,04/09/2016 08:09:57
51.79407,-0.23883,04/09/2016 08:10:02
51.79451,-0.24019,04/09/2016 08:10:07
51.79498,-0.24158,04/09/2016 08:10:12
51.79545,-0.243,04/09/2016 08:10:17
51.79594,-0.24447,04/09/2016 08:10:22
51.79644,-0.24588,04/09/2016 08:10:27
51.79701,-0.24715,04/09/2016 08:10:32
51.79765,-0.24836,04/09/2016 08:10:37
51.79841,-0.24938,04/09/2016 08:10:42
51.79927,-0.25024,04/09/2016 08:10:47
51.80029,-0.25093,04/09/2016 08:10:52
51.80139,-0.25187,04/09/2016 08:10:57
51.80233,-0.25303,04/09/2016 08:11:02
51.80328,-0.25426,04/09/2016 08:11:07
51.80425,-0.25555,04/09/2016 08:11:12
51.80515,-0.25673,04/09/2016 08:11:17
51.80596,-0.25814,04/09/2016 08:11:22
51.80668,-0.25955,04/09/2016 08:11:27
51.80719,-0.2611,04/09/2016 08:11:32
51.80749,-0.26283,04/09/2016 08:11:37
51.80759,-0.26458,04/09/2016 08:11:42
51.8077,-0.26637,04/09/2016 08:11:47
51.8078,-0.26813,04/09/2016 08:11:52
51.80789,-0.26984,04/09/2016 08:11:57
51.80805,-0.27178,04/09/2016 08:12:02
51.80838,-0.27339,04/09/2016 08:12:07
51.80862,-0.27458,04/09/2016 08:12:12
51.80867,-0.27537,04/09/2016 08:12:17
51.80893,-0.27588,04/09/2016 08:12:22
51.80914,-0.27691,04/09/2016 08:12:27
51.80937,-0.27814,04/09/2016 08:12:32
51.80952,-0.27961,04/09/2016 08:12:37
51.80961,-0.28118,04/09/2016 08:12:42
51.80968,-0.28244,04/09/2016 08:12:47
51.80972,-0.28308,04/09/2016 08:12:52
51.80946,-0.28323,04/09/2016 08:12:57
